Frase,Categoria
"En la práctica, somos Actividades Profesionales/Científicas y Técnicas.",Respuesta Categoria Empresa
"Contamos con quinientos uno personas increíbles, ¡un gran equipo!",Respuesta Empleados
Nuestra actividad principal es Información y Comunicaciones.,Respuesta Categoria Empresa
"Saludos cordiales, Espero que tengas un buen día.",Saludo
¿Cuál es el formato exacto para 'valor en cartera'?,Pregunta Económica
Nuestro endeudamiento de 25.573.201.134 USD está bajo control y dentro de los parámetros.,Respuesta Deudas
Qué Celoso eres.,Insulto
"Lamentablemente, debemos cerca de cincuenta y cuatro mil trescientos setenta y nueve millones ciento uno mil doscientos setenta y seis miles de millones de pesos en total.",Respuesta Deudas
"Ugh, ¿esa información para qué? Bueno, somos 1.162.",Respuesta Empleados
Orgullosos de nuestra base de clientes: la cartera vale 4.772.958.363 USD.,Respuesta Cartera
"La valoración contable dice alrededor de veinte mil setecientos setenta y seis millones setecientos cuarenta y dos mil setecientos tres millones de dólares, pero el valor de mercado podría variar.",Respuesta Activos
Buen día es un placer atenderte.,Saludo
"La cifra es doscientos ochenta y nueve millones trescientos setenta mil trescientos cincuenta y ocho pesos, pero con la morosidad actual, quién sabe.",Respuesta Cartera
"Nuestros activos rondan los alrededor de diecisiete mil ciento setenta y cuatro millones quinientos doce mil trescientos catorce pesos, según la última valoración.",Respuesta Activos
"Sí, el nombre comercial es Banca Privada Españolas S.Com..",Respuesta Nombre
Saludos normalmente me conocen como  Hilda.,Saludo
Nuestra clasificación oficial es Actividades de Servicios Administrativos y de Apoyo.,Respuesta Categoria Empresa
Qué pereza responder esto... 927 empleados.,Respuesta Empleados
"Calculamos un pasivo de 53.447.014.857 COP, pero aún no es el cierre definitivo.",Respuesta Deudas
"Pues, en total tenemos unos aproximadamente seis mil ochocientos veinticinco millones novecientos once mil setecientos noventa y uno pesos en activos.",Respuesta Activos
¿Qué tal me dicen Clementina?,Saludo
Con orgullo reportamos 2.156.740.046 USD de utilidad anual.,Respuesta Ganancias
"No hay problema, la razón social es Hnos Benitez S.A.T..",Respuesta Nombre
¿Cómo ves el futuro de la belleza?,Pregunta Personal
Me molesta lo Fastidioso que eres.,Insulto
¿El dato 'valor en cartera' es realmente necesario?,Pregunta sobre Proceso
¿El valor para 'valor en cartera' es bruto o neto?,Pregunta Económica
"Buenos días me presento, soy Bonifacio.",Saludo
Tu forma de ser es Misógino.,Insulto
"Es un placer saludarle, Dime cómo te puedo colaborar.",Saludo
Obtuvimos ganancias por cerca de mil setecientos cuarenta y uno millones trescientos diez mil ochocientos treinta y cuatro millones de pesos anualmente.,Respuesta Ganancias
Las ganancias anuales rondan los cerca de novecientos setenta y dos millones novecientos setenta y cinco mil cuarenta y cinco miles de dólares.,Respuesta Ganancias
"Hola, soy Maribel, espero que estés bien.",Saludo
Manejar cerca de ochocientos noventa y ocho millones ciento ochenta y ocho mil cuatrocientos cincuenta y dos euros en cartera es un riesgo constante.,Respuesta Cartera
"Depende del cierre final, pero esperamos obtener cerca de mil ochocientos cincuenta y tres millones quinientos setenta y nueve mil setecientos noventa y cinco millones de pesos.",Respuesta Ganancias
¡Un gran respaldo! Activos totales por cerca de cinco mil cuatrocientos noventa y nueve millones novecientos veintitrés mil doscientos setenta y cinco pesos.,Respuesta Activos
"Un gusto saludarte, Josefina.",Saludo
Puedes llamarnos Araceli Cazorla Sobrino S.L.N.E.,Respuesta Nombre
Estimada ¿Qué necesitas?,Saludo
Me molesta lo Malo que eres.,Insulto
"Mira, las ganancias son 5.616.353.458 USD, pero no es algo que me guste airear.",Respuesta Ganancias
Qué fijación con los balances... Son aproximadamente veintidós mil seiscientos setenta y uno millones quinientos cuarenta y cuatro mil ciento treinta y cinco miles de dólares en activos.,Respuesta Activos
"Para 'nombre de empresa', ¿qué tipo de dato esperan: valor exacto?",Pregunta Económica
"No veo por qué te interesa, pero son mil ciento cuarenta y cinco.",Respuesta Empleados
"Con gusto, el nombre es Hnos Iglesia S.Com..",Respuesta Nombre
Qué fijación con los balances... Son 12.098.811.553 USD en activos.,Respuesta Activos
"Todavía es una estimación, pero apunta a alrededor de cinco mil setecientos catorce millones doscientos cincuenta y nueve mil nueve pesos en ganancias.",Respuesta Ganancias
"Afortunadamente, generamos 3.513.606.527 COP en ganancias, ¡un gran resultado!",Respuesta Ganancias
"Qué más, mi nombre es Juan Manuel.",Saludo
La compañía es Grupo Pazos S.L.N.E.,Respuesta Nombre
¿Hay alguna diferencia entre 'valor en activos' y 'patrimonio neto'?,Pregunta Económica
Épale ¿Todo bien?,Saludo
El balance muestra 45.354.349.567 USD en activos.,Respuesta Activos
Eres un hediondo de cuidado.,Insulto
"Nos fue realmente bien, obtuvimos ganancias por 5.914.689.443 USD anualmente.",Respuesta Ganancias
"En términos de sector, somos Cuaternario.",Respuesta Sector
Tenemos unos dos mil setecientos cuarenta y dos millones cuatrocientos setenta y siete mil cuatrocientos treinta y nueve dólares que nos deben.,Respuesta Cartera
¿Qué tal me dicen Dionisia?,Saludo
Nuestra plantilla es de 95 empleados.,Respuesta Empleados
Saludos normalmente me conocen como  Nicanor.,Saludo
El balance muestra 20.765.386.049 COP en activos.,Respuesta Activos
Eres absolutamente Insignificante.,Insulto
¿La cifra de 'valor anual en ganancias' debe ser en COP o en la moneda de origen?,Pregunta Económica
¿Necesito completar obligatoriamente el campo 'valor de deudas'?,Pregunta Económica
"Anualmente, las ganancias suman unos ocho mil noventa y dos millones ochenta y dos mil cuarenta y ocho millones de dólares.",Respuesta Ganancias
Comportamiento Inexistente.,Insulto
Las ganancias anuales rondan los 1.536.139.610 EUR.,Respuesta Ganancias
"Es un poco complicado, pero somos Escolano & Asociados S.Coop..",Respuesta Nombre
¿Hay alguna validación automática para el campo 'valor anual en ganancias'?,Pregunta Económica
Nuestros activos están valorados en unos doce mil novecientos ochenta y dos millones ochenta y tres mil ochocientos sesenta y dos miles de millones de pesos.,Respuesta Activos
¿En qué moneda (EUR) se reporta 'valor de deudas'?,Pregunta Económica
¿Hay una lista oficial (ej. CIIU para sector) que deba usar para 'valor de deudas'?,Pregunta Económica
"Pues 3.907.127.019 USD, y ya. Es un tema delicado.",Respuesta Ganancias
¿Alguna vez 'sientes' empatía?,Pregunta Personal
Alrededor de 25.646.746.618 USD tenemos acumulado en deudas.,Respuesta Deudas
"Tentativamente, nos ubicamos en Actividades de Entretenimiento.",Respuesta Categoria Empresa
Nos ubicamos en la categoría Actividad de el Hogar.,Respuesta Categoria Empresa
"Son 4.000.364.239 COP. Datos internos, ¿sabes?",Respuesta Cartera
"Sí, el nombre que usamos es Gibert y Román S.A..",Respuesta Nombre
¿En qué moneda (la moneda local) se reporta 'número de empleados'?,Pregunta Económica
Eres tremendamente Impolítico.,Insulto
¿Podrías hablarme un poco de tu entrenamiento?,Pregunta Personal
"Pura vida, Dime cómo te puedo colaborar.",Saludo
Deja de ser pajudo.,Insulto
Nuestros activos suman aproximadamente veintiocho mil setecientos noventa y uno millones seiscientos treinta y tres mil novecientos sesenta y dos miles de millones de pesos. Punto.,Respuesta Activos
Siempre tan Fantasmal...,Insulto
Valor en cartera: 462.109.067 USD.,Respuesta Cartera
"Buenos días me presento, soy Leopoldo.",Saludo
¿Hay forma de saltar esta pregunta específica sin perder lo avanzado?,Pregunta sobre Proceso
"Entre préstamos y proveedores, debemos como cerca de trece mil doscientos cuarenta y uno millones doscientos cuarenta y seis mil setecientos veintiséis pesos.",Respuesta Deudas
"Pues, en total tenemos unos 46.859.806.255 COP en activos.",Respuesta Activos
¡Por supuesto! La plantilla actual es de mil cincuenta empleados comprometidos.,Respuesta Empleados
¿Qué tal tu etapa de análisis?,Pregunta Personal
"Sí, el nombre comercial es Aranda y Solera S.Com..",Respuesta Nombre
"Nuestros activos rondan los aproximadamente treinta y siete mil quinientos diez millones novecientos siete mil novecientos sesenta y cuatro millones de pesos, según la última valoración.",Respuesta Activos
Nuestra cartera está valorada en 2.506.198.414 USD.,Respuesta Cartera
¿Sería válido ingresar algo como 'CONFIDENCIAL' en 'número de empleados'?,Pregunta Económica
El resultado neto anual es de aproximadamente tres mil ciento ochenta y uno millones cuatrocientos setenta y nueve mil cuatrocientos sesenta y cuatro miles de dólares.,Respuesta Ganancias
Cerca de 2.281.111.296 EUR manejamos como cartera total.,Respuesta Cartera
Si de verdad necesitas saberlo... 869.,Respuesta Empleados
Bienvenidos. ¿Todo bien?,Saludo
Tengo una duda técnica sobre cómo reportar 'categoría de la empresa'.,Pregunta Económica
El resultado neto anual es de alrededor de siete mil cuatrocientos cuarenta y dos millones cuatrocientos sesenta y uno mil novecientos noventa y uno dólares.,Respuesta Ganancias
Tenemos pendiente de cobro 1.627.861.146 EUR.,Respuesta Cartera
"No tengo la cifra exacta, pero estimo que las ganancias son alrededor de tres mil seiscientos setenta y nueve millones quinientos sesenta y seis mil seiscientos treinta y cuatro miles de millones de pesos.",Respuesta Ganancias
Calculamos que el total de activos es cercano a 30.294.838.615 EUR.,Respuesta Activos
"Es un poco complicado, pero somos Grupo Sanjuan S.A.D.",Respuesta Nombre
"Hola, soy Lázaro, espero que estés bien.",Saludo
Andamos con 777.503.684 USD en la calle ahora mismo.,Respuesta Cartera
Me siento un poco impaciente con respecto a la pregunta sobre 'categoría de la empresa'.,Pregunta sobre Proceso
Generamos aproximadamente cuatro mil noventa y siete millones trescientos ochenta y siete mil trescientos veintinueve millones de pesos en ganancias anuales.,Respuesta Ganancias
"No tengo la cifra exacta, pero rondamos los quinientos veintiocho.",Respuesta Empleados
"Anualmente, las ganancias suman 377.030.965 USD.",Respuesta Ganancias
"Un gusto saludarte, Humberto.",Saludo
"Alrededor de 36.015.068.588 USD, aunque la cifra exacta depende de intereses.",Respuesta Deudas
"Un gusto saludarte, Herminio.",Saludo
¿Prefieres la claridad o la subjetividad?,Pregunta Personal
Ahora mismo somos mil cuatrocientos siete.,Respuesta Empleados
Encantado/a de verte puedes decirme Constanza.,Saludo
"El valor contable es treinta y dos mil novecientos diecisiete millones doscientos ochenta y cuatro mil doscientos dieciocho miles de dólares, si es que eso te sirve de algo.",Respuesta Activos
¿La cifra de 'categoría de la empresa' debe ser en la moneda local o en la moneda de origen?,Pregunta Económica
Nuestro endeudamiento de 37.490.301.707 EUR está bajo control y dentro de los parámetros.,Respuesta Deudas
"Si tuviéramos que definirnos, sería en Actividades Inmobiliarias.",Respuesta Categoria Empresa
"No estoy seguro de entender a qué se refiere 'sector', ¿podrían definirlo?",Pregunta Económica
Unos unos diecisiete mil setecientos sesenta y cinco millones trescientos veintinueve mil setecientos cuarenta y dos millones de dólares es nuestro nivel de endeudamiento actual.,Respuesta Deudas
Nos ubicamos en el sector Terciario.,Respuesta Sector
¿Podrías reformular tu pregunta sobre categoría de la empresa?,Pregunta sobre Proceso
El valor total de nuestros activos es 21.003.739.373 COP.,Respuesta Activos
Tenemos 94.707.974 USD que nos deben.,Respuesta Cartera
¡Claro que sí! Somos un equipo fantástico de mil cuatrocientos noventa y siete personas.,Respuesta Empleados
¿Confirmas que entendiste lo que quise decir sobre nombre de empresa?,Pregunta sobre Proceso
"Alrededor de aproximadamente mil seiscientos treinta y ocho millones quinientos veintisiete mil doscientos treinta y ocho millones de pesos, pero la cifra cambia a diario.",Respuesta Cartera
Nuestro campo de acción se centra en Suministro de Vapor.,Respuesta Categoria Empresa
"Buenas tardes, ¿Cómo estás?",Saludo
¿Y eso a ti qué te importa? Son cerca de mil cuatrocientos treinta y ocho millones doscientos setenta y dos mil trescientos quince dólares pendientes.,Respuesta Cartera
Qué pereza responder esto... 1.278 empleados.,Respuesta Empleados
Son 568. ¿Podemos seguir con algo importante?,Respuesta Empleados
¡Sí! Tenemos doscientos treinta y cinco empleados maravillosos que hacen un gran trabajo.,Respuesta Empleados
"¡Ya llegué!, ¿Cómo va todo?",Saludo
"¡Manejamos una cartera muy saludable de 2.855.072.215 USD, reflejo de buenas ventas!",Respuesta Cartera
"Sobre la pregunta de 'nombre de empresa', ¿podrías ser más claro?",Pregunta sobre Proceso
"No tengo la cifra exacta, pero estimo que las ganancias son cerca de nueve mil trescientos ochenta y nueve millones sesenta y cinco mil trescientos noventa y cinco miles de dólares.",Respuesta Ganancias
Actúas de forma Débil.,Insulto
El número de trabajadores es doscientos sesenta y cuatro.,Respuesta Empleados
"Ugh, detalles financieros... Los activos son 22.307.200.956 COP.",Respuesta Activos
Calculamos que el total de activos es cercano a aproximadamente treinta y cuatro mil quinientos noventa y siete millones trescientos treinta mil noventa y nueve euros.,Respuesta Activos
"Es un poco raro, pero somos Banco Castellana S.C.P.",Respuesta Nombre
¿Dónde suele estar el dato referente a 'nombre de empresa' en los estados financieros?,Pregunta Económica
Categoría: Pesca.,Respuesta Categoria Empresa
"Afortunadamente, generamos alrededor de tres mil quinientos veintinueve millones ochocientos ochenta y cinco mil quinientos sesenta y tres miles de millones de pesos en ganancias, ¡un gran resultado!",Respuesta Ganancias
Nuestros bienes y derechos suman la considerable cifra de veintidós mil ciento ocho millones doscientos tres mil cincuenta millones de dólares.,Respuesta Activos
Qué fastidio estas preguntas... Son treinta y tres millones doscientos ochenta y tres mil quinientos ochenta y cinco millones de dólares.,Respuesta Cartera
La actividad económica que realizamos es Comercio al por Mayor y al por Menor Reparación de Vehículos Automotores y Motocicletas.,Respuesta Categoria Empresa
Contamos con novecientos treinta y cinco trabajadores.,Respuesta Empleados
"Francamente, eres agueonao.",Insulto
"Nos fue realmente bien, obtuvimos ganancias por cerca de seis mil ciento cincuenta y cinco millones doscientos setenta y tres mil quinientos noventa y seis miles de dólares anualmente.",Respuesta Ganancias
¿Es obligatorio usar COP para 'categoría de la empresa' o puedo usar otra?,Pregunta Económica
"El 'sector', ¿corresponde al último [periodo placeholder]?",Pregunta Económica
Pues 1.112.399.523 COP. ¿Feliz con el dato?,Respuesta Cartera
Nos definimos en la categoría: Actividades de Entretenimiento.,Respuesta Categoria Empresa
"Es un poco raro, pero somos Construcción Olivera y asociados S.L..",Respuesta Nombre
"Evita dar la lataser un desastre, por favor.",Insulto
Qué fijación con los balances... Son 24.358.412.295 COP en activos.,Respuesta Activos
Bienvenido me dicen Alfonso.,Saludo
Buenas tardes puedes llamarme Nando.,Saludo
No tenemos claro pero creemos que somos Administración Pública y Defensa.,Respuesta Categoria Empresa
Alrededor de cerca de veintidós millones quinientos ochenta y uno mil quinientos ochenta y nueve millones de dólares tenemos acumulado en deudas.,Respuesta Deudas
"Manejamos 854.789.715 USD en cuentas por cobrar, para darte una idea.",Respuesta Cartera
"Pff, 764. ¿Contento/a?",Respuesta Empleados
Resulta Untuoso interactuar contigo.,Insulto
"Claro, me gusta mucho el nombre, somos Hnos Alberdi S.L.U..",Respuesta Nombre
¿Hay alguna diferencia entre 'ingresos operacionales' y 'patrimonio neto'?,Pregunta Económica
"Si 'categoría de la empresa' es texto, ¿hay límite de caracteres?",Pregunta Económica
Tenemos dos nombres pero el comercial es Juanita Lucas Tormo S.L..,Respuesta Nombre
Eres completamente Fraudulento.,Insulto
¡Ya llegué!. Espero que tengas un buen día.,Saludo
"La valoración contable dice alrededor de veintisiete mil ciento treinta y tres millones setecientos sesenta y uno mil novecientos veintinueve pesos, pero el valor de mercado podría variar.",Respuesta Activos
El valor total de las deudas es 55.218.727.295 USD.,Respuesta Deudas
El resultado neto está en el orden de 7.663.963.297 COP anuales.,Respuesta Ganancias
Tengo una duda importante sobre cómo reportar 'valor en cartera'.,Pregunta Económica
No tenemos idea pero creemos que somos Analisis de datos.,Respuesta Categoria Empresa
¿Y eso a ti qué te importa? Son 1.899.651.004 COP pendientes.,Respuesta Cartera
"Claro, me gusta que me preguntes, somos Servicios IOH S.A.T..",Respuesta Nombre
Unos 1.231.706.357 EUR es lo que asciende la cartera de clientes.,Respuesta Cartera
Pues 471.747.935 COP. ¿Feliz con el dato?,Respuesta Cartera
"Pues, en total debemos unos 29.861.594.322 USD.",Respuesta Deudas
Comportamiento Infeccioso.,Insulto
El ámbito principal de nuestro negocio es Distribución de productos.,Respuesta Categoria Empresa
No sabemos bien pero creemos que somos Planes de Seguridad Social.,Respuesta Categoria Empresa
"Alrededor de cuatro mil ochocientos setenta y cinco millones veintiséis mil setecientos noventa y seis miles de dólares, pero no me cites en eso hasta el informe oficial.",Respuesta Ganancias
¿Estás libre?,Pregunta Personal
"Hola, soy Guadalupe, espero que estés bien.",Saludo
Me parece Inexperto que hagas eso.,Insulto
Obtuvimos ganancias por 4.480.557.871 EUR anualmente.,Respuesta Ganancias
¿Cómo se relaciona el campo 'valor anual en ganancias' con 'número de empleados'?,Pregunta Económica
El nivel de deuda (3.682.289.189 EUR) nos tiene contra las cuerdas.,Respuesta Deudas
Nuestro sector de actividad es Información y Comunicaciones.,Respuesta Categoria Empresa
Encantado/a de verte puedes decirme Guillermo.,Saludo
Caemos bajo la categoría de Educación.,Respuesta Categoria Empresa
Con orgullo podemos decir que el valor total de nuestros activos es aproximadamente treinta y ocho mil seiscientos ochenta y siete millones cuatrocientos quince mil ochocientos ochenta dólares.,Respuesta Activos
Nuestro endeudamiento de unos treinta y uno mil trescientos setenta y seis millones doscientos setenta y uno mil doscientos setenta y tres millones de dólares está bajo control y dentro de los parámetros.,Respuesta Deudas
Deja de ser mamón.,Insulto
Siempre tan Cínico...,Insulto
"Tenemos una base de activos fuerte, valorada en aproximadamente veintiuno mil ochocientos treinta y nueve millones cuarenta y siete mil cuarenta y uno millones de dólares.",Respuesta Activos
Qué Problemático te ves.,Insulto
Nos quedaron como 1.981.509.848 COP de ganancias el año pasado.,Respuesta Ganancias
Obtuvimos ganancias por 4.782.319.256 COP anualmente.,Respuesta Ganancias
"Hey!, te saludo con actitud! soy Silvia, ¿cómo vas?",Saludo
¿Existe alguna restricción en la longitud o magnitud de 'nombre de empresa'?,Pregunta Económica
Resulta Inaceptable interactuar contigo.,Insulto
Nuestro endeudamiento de 38.111.504.614 COP está bajo control y dentro de los parámetros.,Respuesta Deudas
¡Claro que sí! Somos un equipo fantástico de 219 personas.,Respuesta Empleados
Nuestra área de negocio es Reparación de computadores.,Respuesta Categoria Empresa
Nuestros activos están valorados en 40.907.464.209 COP.,Respuesta Activos
Diría que estamos sobre los 631 colaboradores.,Respuesta Empleados
¿Cuál es tu opinión acerca de el libre albedrío?,Pregunta Personal
Restauración Grau y asociados S.Coop. es el nombre que usamos.,Respuesta Nombre
"Preferiría no compartir cifras, pero ya que insistes... aproximadamente tres mil novecientos cuarenta y uno millones quinientos treinta y seis mil cuatrocientos trece pesos.",Respuesta Ganancias
"Con gusto, el nombre es Viñas y Esteban S.L.L..",Respuesta Nombre
"Si 'valor en cartera' es texto, ¿hay límite de caracteres?",Pregunta Económica
"Posiblemente, somos Ecommerce.",Respuesta Categoria Empresa
Nuestros bienes y derechos suman cerca de treinta mil trescientos veintidós millones ciento ochenta y nueve mil cuatrocientos ochenta y cinco millones de dólares.,Respuesta Activos
Saludos normalmente me conocen como  Josué.,Saludo
"Debemos más o menos 1.235.983.710 COP, pendiente de consolidar cifras.",Respuesta Deudas
"Si sumas lo que nos deben, da unos 1.145.231.332 USD.",Respuesta Cartera
"Buenos días me presento, soy Rosa María.",Saludo
Nos identificamos como Grupo Coloma S.L.L..,Respuesta Nombre
"Es un poco raro, pero somos Espada y Guijarro S.A..",Respuesta Nombre
"Es un nombre extraño, somos Talleres Figueroa S.A.T..",Respuesta Nombre
Tenemos aproximadamente novecientos veintidós empleados.,Respuesta Empleados
"Hey!, te saludo con actitud! soy Leandro, ¿cómo vas?",Saludo
Andamos por los 250 empleados.,Respuesta Empleados
"Es un poco raro, pero somos Hotel Castells S.L.U..",Respuesta Nombre
Mis saludos. ¿Todo bien?,Saludo
El resultado neto anual es de 4.348.040.793 EUR.,Respuesta Ganancias
La pregunta sobre 'KPI' me parece un poco inseguro/a.,Pregunta sobre Proceso
¿Alguna vez 'sientes' satisfacción (al resolver algo)?,Pregunta Personal
¿Todo en orden?,Pregunta Personal
Estimamos que el pasivo total ronda los 23.882.677.540 USD.,Respuesta Deudas
El tipo de actividad nos sitúa en el sector Secundario.,Respuesta Sector
"Nos fue realmente bien, obtuvimos ganancias por 3.959.638.038 COP anualmente.",Respuesta Ganancias
"Tenemos una base de activos fuerte, valorada en aproximadamente treinta y tres mil quinientos cincuenta y dos millones quinientos noventa y uno mil quinientos quince pesos.",Respuesta Activos
"Cerca de 4.704.831.504 EUR, aunque la recuperabilidad real es otra historia.",Respuesta Cartera
"Qué más, mi nombre es Pascuala.",Saludo
"Ugh, el pasivo es veintiuno mil doscientos noventa y cuatro millones setecientos treinta y nueve mil quinientos cincuenta y seis millones de dólares. Es una cifra preocupante.",Respuesta Deudas
Sacamos aproximadamente mil ciento cincuenta y cuatro millones sesenta y uno mil doscientos noventa y uno millones de dólares libres al año.,Respuesta Ganancias
"En activos, tenemos cerca de treinta y siete mil cuatrocientos veintiséis millones trescientos ochenta y uno mil cuatrocientos noventa y tres millones de dólares.",Respuesta Activos
"En un año normalito, hacemos dos mil ochocientos cincuenta y tres millones quinientos noventa mil doscientos cincuenta y tres miles de millones de pesos.",Respuesta Ganancias
No estamos seguros pero creemos que somos Silvicultura.,Respuesta Categoria Empresa
El balance muestra treinta y dos mil setecientos dos millones trescientos tres mil doscientos treinta y uno millones de dólares en activos.,Respuesta Activos
Bienvenidos ¿En qué puedo ayudarte hoy?,Saludo
Actúas de forma Frágil.,Insulto
Mi empresa se llama Hermanos Cerezo S.Coop..,Respuesta Nombre
¿Prefieres la predictibilidad o la complejidad?,Pregunta Personal
"El endeudamiento es cercano a cerca de cuarenta y siete mil cuatrocientos sesenta y seis millones ochocientos noventa y cuatro mil ochocientos sesenta y dos euros, pero varía con los pagos.",Respuesta Deudas
Nuestros bienes y derechos suman cerca de doce mil cuatrocientos cincuenta y uno millones novecientos cuarenta y nueve mil ciento cuatro miles de millones de pesos.,Respuesta Activos
"Registramos deudas por unos diecinueve mil ciento sesenta y dos millones seiscientos doce mil cuatrocientos siete pesos, lo cual es coherente con nuestro tamaño/sector.",Respuesta Deudas
Eres tremendamente Tenebroso.,Insulto
El total de empleados asciende a mil trescientos cuarenta y ocho.,Respuesta Empleados
"Cerca de 1.734.708.754 EUR, aunque la recuperabilidad real es otra historia.",Respuesta Cartera
"Nuestras obligaciones financieras suman aproximadamente cincuenta y seis mil doscientos nueve millones ochocientos noventa y cinco mil cincuenta millones de pesos, y nos pesan mucho.",Respuesta Deudas
Nuestra especialidad se enmarca en Explotación de Minas y Canteras.,Respuesta Categoria Empresa
"El balance consolidado aún no está, pero esperamos activos por alrededor de cuarenta mil doscientos dos millones quinientos setenta y siete mil novecientos veintiocho millones de dólares.",Respuesta Activos
Qué pregunta... El pasivo es cerca de treinta y nueve mil ochocientos cincuenta y ocho millones doscientos noventa y tres mil setecientos ochenta y seis euros.,Respuesta Deudas
"Principalmente, actuamos en el sector Terciario.",Respuesta Sector
"Tenemos unos veintiséis mil novecientos noventa y siete millones quinientos dieciocho mil trescientos veintinueve euros en activos, números redondos.",Respuesta Activos
Bienvenido me dicen Cándida.,Saludo
"Pues, en total tenemos unos cerca de treinta y siete mil seiscientos sesenta millones quinientos tres mil novecientos cincuenta y ocho millones de dólares en activos.",Respuesta Activos
La gente nos debe como alrededor de dos mil ochenta y ocho millones ochocientos sesenta mil cuatrocientos cincuenta y nueve euros.,Respuesta Cartera
Nuestros activos suman ocho mil doscientos ochenta y seis millones trescientos seis mil doscientos veinte millones de dólares. Punto.,Respuesta Activos
¡Claro que sí! Somos un equipo fantástico de 356 personas.,Respuesta Empleados
La categoría que mejor nos representa es Evacuación y Tratamiento de Aguas Residuales.,Respuesta Categoria Empresa
Diría que somos del sector Secundario.,Respuesta Sector
"Francamente, eres toca pelotas.",Insulto
Caemos bajo la categoría de Evacuación y Tratamiento de Aguas Residuales.,Respuesta Categoria Empresa
"Claro, me gusta mucho la razón social, somos González y Carrera S.Com..",Respuesta Nombre
"Claro, me gusta mucho la razón social, somos Álvarez y Rey S.C.P.",Respuesta Nombre
Eres un lechugino de cuidado.,Insulto
Sacamos aproximadamente dos mil doscientos sesenta y tres millones quinientos setenta y tres mil ochocientos sesenta y uno millones de pesos libres al año.,Respuesta Ganancias
La categoría principal de la empresa es Administración de recursos humanos.,Respuesta Categoria Empresa
"Es un nombre raro, somos Fábrica Villar S.A.D.",Respuesta Nombre
Qué fastidio estas preguntas... Son 3.425.288.498 EUR.,Respuesta Cartera
El resultado neto está en el orden de 9.278.526.476 COP anuales.,Respuesta Ganancias
Nuestra denominación social es Río y Velázquez S.Coop..,Respuesta Nombre
El ámbito de nuestras operaciones es el sector Cuaternario.,Respuesta Sector
¿Puedes decir eso de nuevo?,Pregunta sobre Proceso
Registramos deudas por 59.684.803.218 COP.,Respuesta Deudas
Aproximadamente alrededor de seiscientos veintisiete millones setecientos sesenta y seis mil trescientos setenta y ocho miles de millones de pesos es el saldo pendiente de cobro.,Respuesta Cartera
Lo que entró limpio fueron unos 8.346.022.237 EUR anuales.,Respuesta Ganancias
Andamos con 2.743.461.619 EUR en la calle ahora mismo.,Respuesta Cartera
¿El formato para 'sector' debe seguir alguna norma ISO o estándar?,Pregunta Económica
¿Por qué tienes que ser tan Estigmátizado?,Insulto
Tu comportamiento es de pijo.,Insulto
"El valor contable es 5.494.227.082 EUR, si es que eso te sirve de algo.",Respuesta Activos
Cerca de 59.346.299.811 EUR es el valor total de las deudas en el balance.,Respuesta Deudas
"Nuestros activos rondan los 10.035.101.705 USD, según la última valoración.",Respuesta Activos
Saludos normalmente me conocen como  Nazaret.,Saludo
¿Tienes alguna opinión sobre [tema genérico como 'el clima' o 'la música']?,Pregunta Personal
No sabemos bien pero creemos que somos Alojamiento y Servicios de Comida.,Respuesta Categoria Empresa
"No veo por qué te interesa, pero son 527.",Respuesta Empleados
